ID,Name,Is_Closed,Review_Count,Categories_All,Categories,Rating,Latitude,Longitude,Price,Address,City,Zip_Code,State
gAb-NtuNbNG8p2dqUMQGjw,Palermo Italian Restaurant,False,1466,"Italian, Pizza",Italian,4.0,34.104808807373,-118.291404724121,2,1858 N Vermont Ave,Los Angeles,90027,CA
gAb-NtuNbNG8p2dqUMQGjw,Palermo Italian Restaurant,False,1466,"Italian, Pizza",Pizza,4.0,34.104808807373,-118.291404724121,2,1858 N Vermont Ave,Los Angeles,90027,CA
gEZzvxvK0VtlTXQKelsSxw,Waku Waku Sakebar,False,131,"Sushi Bars, Ramen, Poke",Sushi Bars,4.5,34.0983251117854,-118.329668986864,2,1511 N Cahuenga Blvd,Los Angeles,90028,CA
gEZzvxvK0VtlTXQKelsSxw,Waku Waku Sakebar,False,131,"Sushi Bars, Ramen, Poke",Ramen,4.5,34.0983251117854,-118.329668986864,2,1511 N Cahuenga Blvd,Los Angeles,90028,CA
gEZzvxvK0VtlTXQKelsSxw,Waku Waku Sakebar,False,131,"Sushi Bars, Ramen, Poke",Poke,4.5,34.0983251117854,-118.329668986864,2,1511 N Cahuenga Blvd,Los Angeles,90028,CA
6ytRLP9rivVIcMptLYkfkA,Rasselbock L.A. Kitchen & Beer Garden,False,83,"German, Pubs",German,4.0,34.00413,-118.43102,2,3817 Grand View Blvd,Los Angeles,90066,CA
6ytRLP9rivVIcMptLYkfkA,Rasselbock L.A. Kitchen & Beer Garden,False,83,"German, Pubs",Pubs,4.0,34.00413,-118.43102,2,3817 Grand View Blvd,Los Angeles,90066,CA
b1CxnE2kErynRw9PQ8G_9Q,Yxta Cocina Mexicana,False,1046,"Mexican, Bars",Mexican,4.0,34.0390802757744,-118.240427716488,2,601 S Central Ave,Los Angeles,90021,CA
b1CxnE2kErynRw9PQ8G_9Q,Yxta Cocina Mexicana,False,1046,"Mexican, Bars",Bars,4.0,34.0390802757744,-118.240427716488,2,601 S Central Ave,Los Angeles,90021,CA
2toCl4bQ-91-1aTkYynAcQ,Love Baked Wings,False,363,Chicken Wings,Chicken Wings,4.0,34.0833,-118.34999,2,7350 Melrose Ave,Los Angeles,90046,CA
LflKiZyF57UEm2CYcfJ2ww,Rock'N Fish,False,1166,"Seafood, Gastropubs, American (New)",Seafood,3.5,34.0445128974681,-118.265206574205,2,800 W Olympic Blvd,Los Angeles,90015,CA
LflKiZyF57UEm2CYcfJ2ww,Rock'N Fish,False,1166,"Seafood, Gastropubs, American (New)",Gastropubs,3.5,34.0445128974681,-118.265206574205,2,800 W Olympic Blvd,Los Angeles,90015,CA
LflKiZyF57UEm2CYcfJ2ww,Rock'N Fish,False,1166,"Seafood, Gastropubs, American (New)",American (New),3.5,34.0445128974681,-118.265206574205,2,800 W Olympic Blvd,Los Angeles,90015,CA
02WFNRPN7YDeZo3IRNyfiw,Cena Vegan,False,240,"Mexican, Food Stands",Mexican,4.5,34.1209,-118.2050817,1,5058 York Blvd,Los Angeles,90042,CA
02WFNRPN7YDeZo3IRNyfiw,Cena Vegan,False,240,"Mexican, Food Stands",Food Stands,4.5,34.1209,-118.2050817,1,5058 York Blvd,Los Angeles,90042,CA
fLZDJjLZi__xbIo0ungvLg,The Hermosillo,False,363,"Wine Bars, Breweries, Gastropubs",Wine Bars,4.0,34.121162,-118.203751,2,5125 York Blvd,Los Angeles,90042,CA
fLZDJjLZi__xbIo0ungvLg,The Hermosillo,False,363,"Wine Bars, Breweries, Gastropubs",Breweries,4.0,34.121162,-118.203751,2,5125 York Blvd,Los Angeles,90042,CA
fLZDJjLZi__xbIo0ungvLg,The Hermosillo,False,363,"Wine Bars, Breweries, Gastropubs",Gastropubs,4.0,34.121162,-118.203751,2,5125 York Blvd,Los Angeles,90042,CA
bntaaduchQQiBI7Dt12Pgw,Thank U Pho,False,620,Vietnamese,Vietnamese,4.0,34.0572728932769,-118.307640589179,1,3522 B W 8th St,Los Angeles,90005,CA
tJxpIxaw24l6vnu750G-5A,Castle's Catering,False,25,"Caterers, Cajun/Creole, Soul Food",Caterers,5.0,34.0056987,-118.3342202,2,4287 Crenshaw Blvd,Los Angeles,90008,CA
tJxpIxaw24l6vnu750G-5A,Castle's Catering,False,25,"Caterers, Cajun/Creole, Soul Food",Cajun/Creole,5.0,34.0056987,-118.3342202,2,4287 Crenshaw Blvd,Los Angeles,90008,CA
tJxpIxaw24l6vnu750G-5A,Castle's Catering,False,25,"Caterers, Cajun/Creole, Soul Food",Soul Food,5.0,34.0056987,-118.3342202,2,4287 Crenshaw Blvd,Los Angeles,90008,CA
1toW0p9uJQMEayWlUDz4WQ,Fleming's Prime Steakhouse & Wine Bar,False,1517,"Steakhouses, Wine Bars, Seafood",Steakhouses,4.0,34.0446963342719,-118.26536453203,3,800 W Olympic Blvd,Los Angeles,90015,CA
1toW0p9uJQMEayWlUDz4WQ,Fleming's Prime Steakhouse & Wine Bar,False,1517,"Steakhouses, Wine Bars, Seafood",Wine Bars,4.0,34.0446963342719,-118.26536453203,3,800 W Olympic Blvd,Los Angeles,90015,CA
1toW0p9uJQMEayWlUDz4WQ,Fleming's Prime Steakhouse & Wine Bar,False,1517,"Steakhouses, Wine Bars, Seafood",Seafood,4.0,34.0446963342719,-118.26536453203,3,800 W Olympic Blvd,Los Angeles,90015,CA
QADDG3waUFFqhjnSn_qfsA,The Black Cat,False,455,"American (New), Cocktail Bars, Venues & Event Spaces",American (New),4.0,34.092097,-118.279745,2,3909 Sunset Blvd,Los Angeles,90029,CA
QADDG3waUFFqhjnSn_qfsA,The Black Cat,False,455,"American (New), Cocktail Bars, Venues & Event Spaces",Cocktail Bars,4.0,34.092097,-118.279745,2,3909 Sunset Blvd,Los Angeles,90029,CA
QADDG3waUFFqhjnSn_qfsA,The Black Cat,False,455,"American (New), Cocktail Bars, Venues & Event Spaces",Venues & Event Spaces,4.0,34.092097,-118.279745,2,3909 Sunset Blvd,Los Angeles,90029,CA
san8eG8xZumc9tShj65MPw,Wokcano,False,1413,"Chinese, Sushi Bars, Lounges",Chinese,3.5,34.048593,-118.25917,2,800 W 7th St,Los Angeles,90017,CA
san8eG8xZumc9tShj65MPw,Wokcano,False,1413,"Chinese, Sushi Bars, Lounges",Sushi Bars,3.5,34.048593,-118.25917,2,800 W 7th St,Los Angeles,90017,CA
san8eG8xZumc9tShj65MPw,Wokcano,False,1413,"Chinese, Sushi Bars, Lounges",Lounges,3.5,34.048593,-118.25917,2,800 W 7th St,Los Angeles,90017,CA
OSYoTFAfq9_wFyDH_qUsTA,The Griddle Cafe,False,5695,"Breakfast & Brunch, Coffee & Tea, Sandwiches",Breakfast & Brunch,4.0,34.097807,-118.362255,2,7916 W Sunset Blvd,Hollywood,90046,CA
OSYoTFAfq9_wFyDH_qUsTA,The Griddle Cafe,False,5695,"Breakfast & Brunch, Coffee & Tea, Sandwiches",Coffee & Tea,4.0,34.097807,-118.362255,2,7916 W Sunset Blvd,Hollywood,90046,CA
OSYoTFAfq9_wFyDH_qUsTA,The Griddle Cafe,False,5695,"Breakfast & Brunch, Coffee & Tea, Sandwiches",Sandwiches,4.0,34.097807,-118.362255,2,7916 W Sunset Blvd,Hollywood,90046,CA
GMyarj6vbMqr-sS2UG4KVw,Wake and Late,False,370,"Coffee & Tea, Breakfast & Brunch, American (New)",Coffee & Tea,4.5,34.045188,-118.249536,1,105 East 6th St,Los Angeles,90014,CA
GMyarj6vbMqr-sS2UG4KVw,Wake and Late,False,370,"Coffee & Tea, Breakfast & Brunch, American (New)",Breakfast & Brunch,4.5,34.045188,-118.249536,1,105 East 6th St,Los Angeles,90014,CA
GMyarj6vbMqr-sS2UG4KVw,Wake and Late,False,370,"Coffee & Tea, Breakfast & Brunch, American (New)",American (New),4.5,34.045188,-118.249536,1,105 East 6th St,Los Angeles,90014,CA
khApvUwH1Xhe3MtaXmaZsg,The Kickin’ Crab,False,43,"Cajun/Creole, Seafood, Soup",Cajun/Creole,4.0,34.0978346161365,-118.3233207,2,6122 W Sunset Blvd,Los Angeles,90028,CA
khApvUwH1Xhe3MtaXmaZsg,The Kickin’ Crab,False,43,"Cajun/Creole, Seafood, Soup",Seafood,4.0,34.0978346161365,-118.3233207,2,6122 W Sunset Blvd,Los Angeles,90028,CA
khApvUwH1Xhe3MtaXmaZsg,The Kickin’ Crab,False,43,"Cajun/Creole, Seafood, Soup",Soup,4.0,34.0978346161365,-118.3233207,2,6122 W Sunset Blvd,Los Angeles,90028,CA
4EAaHAf2hny208rgA0eB-g,Burger Lounge,False,329,Burgers,Burgers,4.0,34.075395,-118.323818,2,217 N Larchmont Blvd,Los Angeles,90004,CA
IsnwCIWyu3pdhY7ggHylog,Cantinho Brasileiro,False,23,Brazilian,Brazilian,4.5,34.0156678,-118.4127939,1,10925 Venice Blvd,Los Angeles,90034,CA
9qDA6kGLxuZ0bOSYWet4uA,Botanica Restaurant & Market,False,235,"American (New), Bars, Coffee & Tea",American (New),4.0,34.08847,-118.26875,2,1620 Silver Lake Blvd,Los Angeles,90026,CA
9qDA6kGLxuZ0bOSYWet4uA,Botanica Restaurant & Market,False,235,"American (New), Bars, Coffee & Tea",Bars,4.0,34.08847,-118.26875,2,1620 Silver Lake Blvd,Los Angeles,90026,CA
9qDA6kGLxuZ0bOSYWet4uA,Botanica Restaurant & Market,False,235,"American (New), Bars, Coffee & Tea",Coffee & Tea,4.0,34.08847,-118.26875,2,1620 Silver Lake Blvd,Los Angeles,90026,CA
eC7bhbablJ6jowPoYI2F0A,Kai Ramen,False,167,"Ramen, Comfort Food",Ramen,4.5,34.07755,-118.37695,2,349 La Cienega Blvd,Los Angeles,90048,CA
eC7bhbablJ6jowPoYI2F0A,Kai Ramen,False,167,"Ramen, Comfort Food",Comfort Food,4.5,34.07755,-118.37695,2,349 La Cienega Blvd,Los Angeles,90048,CA
XN31yqCpt4_aOJDoceuCvw,All'Acqua,False,564,"Italian, Pizza",Italian,4.0,34.1184299,-118.25971,2,3280 Glendale Blvd,Los Angeles,90039,CA
XN31yqCpt4_aOJDoceuCvw,All'Acqua,False,564,"Italian, Pizza",Pizza,4.0,34.1184299,-118.25971,2,3280 Glendale Blvd,Los Angeles,90039,CA
8U25CW8za6U7ycNTlpJ2uQ,Lodge Bread,False,550,"Bakeries, Pizza, Sandwiches",Bakeries,4.0,33.9978245979172,-118.42031159448,2,11918 Washington Blvd,Los Angeles,90066,CA
8U25CW8za6U7ycNTlpJ2uQ,Lodge Bread,False,550,"Bakeries, Pizza, Sandwiches",Pizza,4.0,33.9978245979172,-118.42031159448,2,11918 Washington Blvd,Los Angeles,90066,CA
8U25CW8za6U7ycNTlpJ2uQ,Lodge Bread,False,550,"Bakeries, Pizza, Sandwiches",Sandwiches,4.0,33.9978245979172,-118.42031159448,2,11918 Washington Blvd,Los Angeles,90066,CA
6XYHpIJrE1YRNOGnScp0gA,Ham Ji Park,False,154,"Korean, Barbeque",Korean,4.0,34.0478722,-118.3257373,2,4135 W Pico Blvd,Los Angeles,90019,CA
6XYHpIJrE1YRNOGnScp0gA,Ham Ji Park,False,154,"Korean, Barbeque",Barbeque,4.0,34.0478722,-118.3257373,2,4135 W Pico Blvd,Los Angeles,90019,CA
JMJWvgBKUO6_wOPtnTCPgQ,Hama Sushi,False,1482,"Sushi Bars, Japanese",Sushi Bars,4.0,34.0484545930015,-118.24039619933,2,347 E 2nd St,Los Angeles,90012,CA
JMJWvgBKUO6_wOPtnTCPgQ,Hama Sushi,False,1482,"Sushi Bars, Japanese",Japanese,4.0,34.0484545930015,-118.24039619933,2,347 E 2nd St,Los Angeles,90012,CA
hIythZZ3mpPwwhSJkUuJQQ,Pez Cantina,False,824,"Seafood, Mexican, Bars",Seafood,4.0,34.0515515,-118.2534951,2,401 S Grand Ave,Los Angeles,90071,CA
hIythZZ3mpPwwhSJkUuJQQ,Pez Cantina,False,824,"Seafood, Mexican, Bars",Mexican,4.0,34.0515515,-118.2534951,2,401 S Grand Ave,Los Angeles,90071,CA
